序号,排名,企业名称,地区,是否A股上市,A股上市名称（股票名称）,股票代码,上市子公司（股票代码）,备注,分工
264,347,三角集团有限公司,山东,N,,,三角轮胎（601163）,,
265,348,太原重型机械集团有限公司,山西,N,,,太原重工（600169）,,
266,350,通鼎集团有限公司,江苏,N,,,德尔股份（300473）、邦讯技术（300312）,,
267,351,江苏三木集团有限公司,江苏,Y,三木集团,000632,,,
268,352,山西建龙钢铁有限公司,山西,N,,,,有年报,
269,353,沈阳机床（集团）有限责任公司,辽宁,N,,,沈阳机床（000410）,,
270,361,永鼎集团有限公司,江苏,N,,,永鼎股份（600105）,,
271,362,河南济源钢铁（集团）有限公司,河南,N,,,,有年报,
272,363,卧龙控股集团有限公司,浙江,N,,,卧龙电气（600580）、卧龙地产（600173）,,
273,364,上海外高桥造船有限公司,上海,N,,,,有年报,
274,375,江苏华宏实业集团有限公司,江苏,N,,,华宏科技（002645）,,
275,377,华立科技股份有限公司,浙江,N,,,厚达智能（新三板 870688）,,
276,378,山东恒源石油化工股份有限公司,山东,N,,,,有年报,
277,379,富通集团有限公司,浙江,N,,,,有年报,
278,380,山东联盟化工集团有限公司,山东,N,,,,有年报,
279,381,常州东方特钢有限公司,江苏,N,,,,有年报,
280,385,葵花药业集团股份有限公司,黑龙江,Y,葵花药业,002737,,,
281,387,庆铃汽车（集团）有限公司,重庆,N,,,庆铃汽车股份（港股01122）,,
282,397,华峰集团有限公司,浙江,N,,,华峰氨纶（002064）,,
283,401,四川郎酒集团有限责任公司,四川,N,,,银山股份（新三板872247）,,
284,402,兴乐集团有限公司,浙江,N,,,恒天海龙（000677）,,
285,403,新凤鸣集团股份有限公司,浙江,Y,新凤鸣,603225,,,
286,406,河南森源电气股份有限公司,河南,Y,森源电气,002358,,,
287,408,苏州市相城区江南化纤集团有限公司,江苏,N,,,东吴证券（601555）,,
288,410,铜陵化学工业集团有限公司,安徽,N,,,安纳达（002136）、六国化工（600470）,,
289,411,山推工程机械股份有限公司,山东,Y ,山推股份,000680,,,
290,415,人本集团有限公司,浙江,N,,,襄阳轴承（000678）,,
291,416,大连冰山集团有限公司,辽宁,N,,,大冷股份,,
292,418,郑州煤矿机械集团股份有限公司,河南,Y,郑煤机,601717,,,
293,420,三花控股集团有限公司,浙江,N,,,三花智控（002050）、瑞明节能（831069）、新和成（002001）,,
294,424,永兴特种不锈钢股份有限公司,浙江,Y,永兴特钢,002756,,,
295,430,浙江巨化股份有限公司,浙江,Y,巨化股份,600160,,,
296,431,山东华鲁恒升化工股份有限公司,山东,Y,华鲁恒升,600426,,,
297,434,浙江苏泊尔股份有限公司,浙江,Y,苏泊尔,002032,,,
298,436,上海美特斯邦威服饰股份有限公司,上海,Y,美邦服饰,002269,,,
299,438,铜陵精达特种电磁线股份有限公司,安徽,Y,精达股份,600577,,,
300,441,杭叉集团股份有限公司,浙江,Y,杭叉集团,603298,,,
301,442,太原重工股份有限公司,山西,Y,太原重工,600169,,,
302,443,骆驼集团股份有限公司,湖北,Y,骆驼股份,601311,,,
303,445,湖北新洋丰肥业股份有限公司,湖北,Y,新洋丰,000902,,,
304,450,华仪集团有限公司,浙江,N,,,华仪电气,,
305,451,兴惠化纤集团有限公司,浙江,N,,,恒逸石化（000703）,,
306,453,万事利集团有限公司,浙江,N,,,沃施股份（300483）,,
307,457,伟星集团有限公司,浙江,N,,,伟星股份（002003）、伟星新材（002372）,,
308,460,江苏常发实业集团有限公司,江苏,N,,,雷科防务（002413）,,
309,461,厦门厦工机械股份有限公司,福建,Y,厦工股份,600815,,,
310,464,东北制药集团有限责任公司,辽宁,N,,,东北制药（000597）,,
311,465,龙大食品集团有限公司,山东,N,,,龙大肉食（002726）,,
312,467,中国龙工控股有限公司,上海,N（港股03339）,,,,,
313,468,四川化工控股（集团）有限责任公司,四川,N,,,川能动力（000155),,
314,472,四川剑南春（集团）有限责任公司,四川,N,,,华西证券（002926）,,
315,473,辅仁药业集团有限公司,河南,Y,辅仁药业,600781,,,
316,476,安德利集团有限公司,浙江,Y,安德利,603031,,,
317,477,中国四联仪器仪表集团有限公司,重庆,N,,,川仪股份（603100）,,
318,483,安徽中鼎控股（集团）股份有限公司,安徽,Y,中鼎股份,000887,,,
319,484,中利科技集团股份有限公司,江苏,Y,中利集团,002309,,,
320,498,华孚色纺股份有限公司,安徽,Y,华孚时尚,002042,,,
321,499,瑞立集团有限公司,浙江,N,,,瑞立科密（833321）,,
